Employee_ID,Age,Career_Stage,Skills,Training_Participation,Certifications,Performance_Metrics,Skill_Gaps
34,36,Senior,Leadership,298,2,0.394500849,AI/ML
35,21,Entry-Level,Cybersecurity,403,1,0.747873887,5G
36,28,Senior,Leadership,573,3,0.123404893,Leadership
37,28,Senior,AI/ML,129,1,0.419354049,5G
38,31,Senior,5G,79,0,0.66474549,Cybersecurity
39,57,Entry-Level,Leadership,135,3,0.016959344,Leadership
40,48,Mid-Career,Leadership,509,0,0.10882394,5G
41,48,Senior,5G,530,1,0.678866802,Leadership
42,20,Mid-Career,AI/ML,247,4,0.560928117,AI/ML
43,59,Senior,5G,361,4,0.078979774,AI/ML
44,41,Senior,Leadership,534,1,0.148544078,Leadership
45,29,Mid-Career,AI/ML,86,2,0.861315573,AI/ML
46,48,Entry-Level,Leadership,523,4,0.049763916,AI/ML
47,57,Entry-Level,Leadership,411,2,0.250929576,5G
48,23,Mid-Career,Cybersecurity,237,3,0.400995408,Leadership
49,37,Entry-Level,AI/ML,585,0,0.6661534,Cybersecurity
50,26,Entry-Level,Cybersecurity,566,3,0.876767798,AI/ML
51,30,Mid-Career,5G,21,4,0.196545188,5G
52,39,Senior,Cybersecurity,546,3,0.362855929,Leadership
53,33,Senior,Leadership,482,0,0.716133404,Cybersecurity
54,31,Mid-Career,5G,321,3,0.540055284,5G
55,29,Mid-Career,Leadership,559,1,0.001918343,AI/ML
56,46,Mid-Career,5G,491,4,0.413131581,Leadership
57,52,Senior,Cybersecurity,370,3,0.891405563,Cybersecurity
58,52,Senior,Cybersecurity,588,4,0.485470621,5G
59,27,Mid-Career,AI/ML,94,0,0.70385052,Leadership
60,45,Mid-Career,5G,571,1,0.248277931,5G
61,39,Entry-Level,Cybersecurity,579,3,0.004468561,Leadership
62,19,Senior,AI/ML,311,1,0.465954584,5G
63,39,Senior,5G,28,3,0.875671905,5G
64,40,Entry-Level,5G,315,3,0.852328078,Leadership
65,46,Senior,Leadership,337,4,0.211828701,5G
66,28,Mid-Career,5G,230,0,0.972639847,5G
67,39,Senior,Cybersecurity,47,4,0.673951491,Leadership
68,59,Entry-Level,AI/ML,111,1,0.963457473,5G
69,54,Senior,AI/ML,156,3,0.12126584,Leadership
70,27,Mid-Career,Leadership,253,3,0.74912211,5G
71,57,Mid-Career,Cybersecurity,580,1,0.794273192,Leadership
72,34,Senior,AI/ML,444,3,0.231101659,5G
73,43,Mid-Career,Leadership,79,0,0.910409898,Leadership
74,33,Entry-Level,Leadership,400,4,0.322989373,5G
75,49,Mid-Career,Leadership,470,1,0.190383135,5G
76,44,Mid-Career,AI/ML,584,4,0.561727114,Leadership
77,18,Senior,Leadership,228,2,0.172606085,Leadership
78,35,Entry-Level,Cybersecurity,423,0,0.883951891,AI/ML
79,51,Senior,Cybersecurity,245,4,0.762509147,AI/ML
80,58,Mid-Career,Leadership,220,3,0.430516196,5G
81,18,Mid-Career,Leadership,378,3,0.497126592,Leadership
82,41,Senior,Leadership,372,2,0.198954722,Cybersecurity
83,48,Entry-Level,Cybersecurity,136,4,0.927678837,Leadership
84,35,Senior,Leadership,160,3,0.28890231,AI/ML
85,45,Mid-Career,5G,128,2,0.660372583,Leadership
86,53,Senior,5G,531,0,0.432128187,AI/ML
87,29,Senior,AI/ML,262,4,0.539803957,5G
88,39,Senior,5G,148,1,0.773588563,Cybersecurity
89,58,Entry-Level,5G,410,4,0.294239104,5G
90,39,Mid-Career,5G,326,2,0.926344826,5G
91,27,Senior,AI/ML,83,2,0.016903113,AI/ML
92,44,Mid-Career,Leadership,232,4,0.653964619,AI/ML
93,59,Entry-Level,5G,75,4,0.490438156,Cybersecurity
94,55,Senior,AI/ML,524,4,0.757397835,Cybersecurity
95,43,Entry-Level,Leadership,205,2,0.438508541,Leadership
96,56,Senior,Cybersecurity,284,4,0.299149586,5G
97,24,Mid-Career,AI/ML,227,4,0.464366245,Leadership
98,50,Entry-Level,Leadership,0,3,0.733796817,Leadership
99,35,Mid-Career,Cybersecurity,82,3,0.068597865,AI/ML
100,55,Entry-Level,Cybersecurity,25,0,0.513349341,5G
101,21,Senior,Leadership,205,1,0.255845329,5G
102,35,Mid-Career,5G,514,1,0.834973128,AI/ML
103,20,Entry-Level,AI/ML,491,3,0.48812441,5G
104,43,Senior,AI/ML,389,1,0.338243698,5G
105,38,Senior,Cybersecurity,404,1,0.217211832,AI/ML
106,39,Entry-Level,Cybersecurity,277,1,0.588163179,AI/ML
107,33,Entry-Level,5G,350,2,0.781341731,Cybersecurity
108,53,Entry-Level,AI/ML,55,2,0.195000572,Leadership
109,21,Senior,AI/ML,556,4,0.443121949,Cybersecurity
110,40,Entry-Level,AI/ML,189,3,0.749737981,Leadership
111,18,Senior,Cybersecurity,477,3,0.833271251,AI/ML
112,56,Entry-Level,Cybersecurity,553,0,0.513993712,5G
113,27,Mid-Career,Leadership,145,2,0.210666124,Leadership
114,44,Mid-Career,AI/ML,421,3,0.034486844,AI/ML
115,25,Mid-Career,AI/ML,186,4,0.116649149,Cybersecurity
116,41,Mid-Career,AI/ML,324,2,0.596228152,Leadership
117,47,Mid-Career,Cybersecurity,80,3,0.560120143,Cybersecurity
118,49,Senior,5G,536,1,0.000271667,AI/ML
119,22,Mid-Career,5G,464,4,0.68570543,AI/ML
120,28,Entry-Level,Cybersecurity,259,1,0.073869578,AI/ML
121,49,Senior,5G,36,1,0.489524129,Cybersecurity
122,27,Mid-Career,Leadership,509,1,0.14236672,AI/ML
123,45,Senior,Leadership,586,1,0.620606911,Cybersecurity
124,51,Senior,Cybersecurity,11,0,0.146154783,AI/ML
125,39,Mid-Career,5G,142,4,0.101553852,Cybersecurity
126,28,Mid-Career,Cybersecurity,406,1,0.894173493,5G
127,23,Senior,5G,101,2,0.146061538,AI/ML
128,55,Senior,5G,433,4,0.230054987,AI/ML
129,24,Entry-Level,AI/ML,161,2,0.490762567,AI/ML
130,25,Entry-Level,5G,192,2,0.86284077,Cybersecurity
131,45,Senior,5G,456,2,0.512067212,Leadership
132,34,Mid-Career,Cybersecurity,559,4,0.095663621,Cybersecurity
133,30,Entry-Level,Cybersecurity,326,2,0.212630773,AI/ML
134,18,Entry-Level,AI/ML,73,1,0.571473791,Cybersecurity
135,43,Senior,Leadership,559,4,0.599354136,Cybersecurity
136,33,Mid-Career,Cybersecurity,558,0,0.037238695,5G
137,20,Senior,Cybersecurity,357,1,0.423160548,Cybersecurity
138,21,Senior,Cybersecurity,43,0,0.261401524,5G
139,21,Mid-Career,5G,144,2,0.679381795,AI/ML
140,21,Senior,AI/ML,464,4,0.840742467,Leadership
141,51,Senior,5G,53,1,0.722502814,AI/ML
142,27,Entry-Level,AI/ML,284,3,0.821064955,Cybersecurity
143,18,Senior,Leadership,468,4,0.253733893,Leadership
144,53,Mid-Career,Cybersecurity,534,2,0.746728081,Leadership
145,54,Entry-Level,Leadership,186,2,0.370226656,Leadership
146,54,Senior,5G,6,0,0.26889453,Leadership
147,56,Entry-Level,Leadership,473,3,0.960962651,AI/ML
148,43,Senior,AI/ML,306,1,0.772363389,AI/ML
149,18,Mid-Career,AI/ML,184,2,0.760268541,AI/ML
150,18,Entry-Level,AI/ML,286,4,0.05602983,5G
151,33,Mid-Career,5G,216,1,0.330379948,5G
152,41,Entry-Level,Cybersecurity,122,1,0.320895096,Leadership
153,24,Senior,AI/ML,348,3,0.520863839,5G
154,36,Mid-Career,Leadership,21,0,0.34159048,Leadership
155,48,Mid-Career,AI/ML,410,3,0.675309052,5G
156,18,Senior,AI/ML,497,4,0.76540441,Leadership
157,58,Senior,Leadership,585,3,0.623111128,Leadership
158,25,Mid-Career,5G,323,3,0.839153599,Cybersecurity
159,19,Senior,AI/ML,393,2,0.725988269,5G
160,23,Entry-Level,Cybersecurity,420,1,0.99035312,AI/ML
161,49,Senior,Leadership,125,1,0.145749178,5G
162,49,Entry-Level,AI/ML,468,2,0.893736982,5G
163,53,Mid-Career,Cybersecurity,416,4,0.326065712,Leadership
164,33,Entry-Level,Cybersecurity,159,1,0.639446317,Cybersecurity
165,37,Senior,Cybersecurity,177,4,0.358029152,Cybersecurity
166,54,Mid-Career,Leadership,180,4,0.865325989,AI/ML
167,37,Mid-Career,Leadership,298,3,0.623082343,Leadership
168,28,Senior,5G,268,4,0.716547749,Leadership
169,52,Entry-Level,Cybersecurity,209,0,0.342842483,5G
170,20,Entry-Level,Leadership,13,3,0.694619096,AI/ML
171,32,Senior,Leadership,34,3,0.220418418,Leadership
172,49,Senior,5G,410,0,0.134604223,5G
173,42,Entry-Level,AI/ML,359,0,0.228664226,AI/ML
174,35,Senior,5G,97,0,0.579936856,5G
175,43,Mid-Career,Leadership,263,3,0.517727809,AI/ML
176,53,Entry-Level,5G,467,2,0.88667793,5G
177,28,Mid-Career,Leadership,290,4,0.135717798,Cybersecurity
178,27,Entry-Level,Leadership,125,0,0.050528253,AI/ML
179,28,Mid-Career,Leadership,516,0,0.419289623,5G
180,22,Mid-Career,Cybersecurity,240,3,0.720328884,AI/ML
181,49,Senior,5G,545,2,0.027940191,Leadership
182,23,Entry-Level,Cybersecurity,565,2,0.101650096,AI/ML
183,41,Mid-Career,AI/ML,203,0,0.958115861,Leadership
184,56,Mid-Career,AI/ML,30,0,0.651276684,AI/ML
185,47,Mid-Career,5G,364,1,0.83795205,Leadership
186,40,Senior,5G,193,0,0.121016531,Leadership
187,56,Entry-Level,5G,575,3,0.816872676,Leadership
188,35,Mid-Career,Leadership,157,0,0.825489641,AI/ML
189,30,Mid-Career,Leadership,47,4,0.552184339,Cybersecurity
190,38,Senior,AI/ML,585,2,0.706087679,Cybersecurity
191,30,Entry-Level,AI/ML,161,0,0.95248382,5G
192,38,Mid-Career,Leadership,137,4,0.21097013,AI/ML
193,36,Senior,AI/ML,28,0,0.162634059,5G
194,48,Mid-Career,AI/ML,367,1,0.073167162,Cybersecurity
195,43,Senior,Leadership,56,1,0.86541016,Leadership
196,42,Mid-Career,AI/ML,138,0,0.867373667,AI/ML
197,27,Mid-Career,5G,141,0,0.921345111,AI/ML
198,23,Mid-Career,AI/ML,319,3,0.542359666,5G
199,55,Mid-Career,AI/ML,24,1,0.052028981,Cybersecurity
200,44,Mid-Career,5G,269,2,0.026293875,Cybersecurity
201,59,Mid-Career,5G,403,3,0.302075125,AI/ML
202,48,Entry-Level,Leadership,108,0,0.158907325,Cybersecurity
203,33,Senior,5G,513,2,0.250700337,Leadership
204,44,Entry-Level,Cybersecurity,514,3,0.442213635,Cybersecurity
205,43,Senior,5G,579,0,0.907278282,5G
206,51,Senior,AI/ML,392,2,0.615779793,Cybersecurity
207,35,Mid-Career,5G,55,4,0.458117046,Leadership
208,38,Senior,AI/ML,376,0,0.220108969,5G
209,19,Senior,Leadership,32,1,0.514696605,5G
210,20,Entry-Level,Cybersecurity,589,2,0.275020756,Cybersecurity
211,59,Senior,Cybersecurity,60,2,0.133788341,Leadership
212,18,Senior,Leadership,17,3,0.487510818,AI/ML
213,45,Entry-Level,Leadership,108,1,0.639353254,Cybersecurity
214,52,Senior,Cybersecurity,408,2,0.153545332,Leadership
215,32,Mid-Career,Leadership,399,2,0.709360128,5G
216,50,Senior,5G,256,0,0.400671537,5G
217,45,Entry-Level,5G,44,2,0.406044386,5G
218,28,Mid-Career,Cybersecurity,385,3,0.608016556,5G
219,49,Senior,5G,568,3,0.226189576,AI/ML
220,32,Mid-Career,5G,113,4,0.428847236,5G
221,56,Mid-Career,Cybersecurity,173,4,0.403120984,5G
222,32,Senior,Leadership,7,2,0.141557514,Leadership
223,35,Entry-Level,5G,244,1,0.066047189,AI/ML
224,39,Senior,Leadership,450,4,0.856609556,Cybersecurity
225,40,Entry-Level,Cybersecurity,168,3,0.20440492,Leadership
226,45,Entry-Level,Cybersecurity,454,1,0.135794763,5G
227,45,Mid-Career,Leadership,172,1,0.055308621,AI/ML
228,20,Entry-Level,5G,433,1,0.785742962,5G
229,24,Senior,AI/ML,94,1,0.904746253,AI/ML
230,37,Senior,5G,217,4,0.567663105,Leadership
231,50,Entry-Level,Leadership,530,0,0.573710666,AI/ML
232,51,Entry-Level,Cybersecurity,588,4,0.808537481,Leadership
233,35,Mid-Career,Leadership,580,3,0.346545152,5G
234,39,Entry-Level,Leadership,383,0,0.08073981,Leadership
235,45,Entry-Level,AI/ML,51,3,0.185310362,Leadership
236,40,Entry-Level,Leadership,379,1,0.861241267,5G
237,34,Senior,5G,396,2,0.542248872,AI/ML
238,34,Entry-Level,5G,565,2,0.557287149,AI/ML
239,51,Mid-Career,Leadership,238,1,0.129221223,Cybersecurity
240,48,Senior,Leadership,131,4,0.004628635,5G
241,36,Mid-Career,AI/ML,327,1,0.781929791,5G
242,23,Mid-Career,5G,80,1,0.366505549,5G
243,58,Mid-Career,AI/ML,120,4,0.17804962,5G
244,25,Mid-Career,AI/ML,510,1,0.55499263,5G
245,43,Mid-Career,Leadership,382,3,0.200667377,5G
246,29,Entry-Level,Cybersecurity,416,0,0.972855063,Leadership
247,35,Senior,Leadership,500,4,0.354700232,Cybersecurity
248,40,Mid-Career,AI/ML,167,0,0.366478224,5G
249,27,Senior,5G,158,3,0.798908149,5G
250,30,Mid-Career,Cybersecurity,465,2,0.796441991,Leadership
251,28,Senior,5G,448,4,0.489080511,Cybersecurity
252,53,Entry-Level,Leadership,136,3,0.628014603,5G
253,49,Entry-Level,AI/ML,338,2,0.234596217,5G
254,42,Entry-Level,Cybersecurity,356,3,0.904163421,AI/ML
255,31,Entry-Level,Leadership,595,4,0.122368115,AI/ML
256,58,Senior,5G,591,0,0.024717195,5G
257,35,Entry-Level,5G,196,1,0.521252749,Cybersecurity
258,27,Mid-Career,Cybersecurity,369,1,0.344569214,Cybersecurity
259,37,Entry-Level,5G,329,1,0.750131387,5G
260,42,Mid-Career,AI/ML,91,3,0.225437113,5G
261,25,Senior,AI/ML,215,2,0.412724704,Leadership
262,45,Senior,AI/ML,87,3,0.677216824,Leadership
263,58,Mid-Career,Leadership,565,2,0.350111645,Leadership
264,37,Entry-Level,Cybersecurity,27,0,0.113088291,Leadership
265,35,Entry-Level,AI/ML,566,0,0.471113899,Cybersecurity
266,54,Senior,AI/ML,484,2,0.404760295,Cybersecurity
267,59,Mid-Career,AI/ML,42,4,0.640656425,5G
268,44,Senior,AI/ML,441,4,0.067208614,Cybersecurity
269,36,Mid-Career,5G,270,1,0.166775807,AI/ML
270,34,Entry-Level,AI/ML,259,2,0.239515274,AI/ML
271,40,Senior,5G,190,0,0.690806122,AI/ML
272,36,Senior,Leadership,293,4,0.154615399,AI/ML
273,45,Entry-Level,5G,191,1,0.903903452,Cybersecurity
274,25,Entry-Level,AI/ML,311,1,0.572854824,5G
275,39,Senior,5G,379,4,0.991375155,Cybersecurity
276,50,Entry-Level,AI/ML,315,2,0.468273758,Leadership
277,31,Mid-Career,AI/ML,551,2,0.468475821,AI/ML
278,40,Mid-Career,Leadership,436,4,0.385096123,AI/ML
279,57,Senior,Leadership,172,3,0.320560584,Leadership
280,34,Entry-Level,Cybersecurity,520,3,0.894765021,AI/ML
281,34,Mid-Career,Cybersecurity,30,3,0.561070167,Leadership
282,33,Entry-Level,Cybersecurity,97,4,0.8826099,Leadership
283,35,Entry-Level,Leadership,23,1,0.786457354,Cybersecurity
284,37,Senior,AI/ML,102,1,0.63597856,AI/ML
285,58,Entry-Level,Cybersecurity,217,4,0.064266974,5G
286,37,Entry-Level,Leadership,596,0,0.311959498,Leadership
287,44,Senior,Leadership,383,1,0.18342785,5G
288,39,Senior,5G,426,2,0.25429719,Cybersecurity
289,21,Entry-Level,Leadership,352,0,0.90765787,5G
290,26,Entry-Level,5G,564,3,0.260922437,Cybersecurity
291,26,Senior,AI/ML,472,3,0.507677173,Cybersecurity
292,37,Entry-Level,Cybersecurity,525,4,0.444116211,Cybersecurity
293,37,Senior,5G,160,3,0.867159404,5G
294,24,Mid-Career,AI/ML,361,1,0.396148555,Leadership
295,49,Senior,5G,599,2,0.889597012,Cybersecurity
296,43,Senior,Leadership,540,4,0.861864908,Leadership
297,47,Entry-Level,5G,410,1,0.886664093,Cybersecurity
298,28,Senior,Cybersecurity,568,4,0.375124195,AI/ML
299,42,Senior,Leadership,449,1,0.11540242,Leadership
300,41,Senior,Leadership,402,1,0.352012155,AI/ML
301,46,Entry-Level,Leadership,253,0,0.756052464,AI/ML
302,55,Entry-Level,5G,307,4,0.023097052,Leadership
303,57,Entry-Level,AI/ML,339,2,0.12982568,Cybersecurity
304,25,Mid-Career,Cybersecurity,270,1,0.707394589,AI/ML
305,28,Mid-Career,5G,262,1,0.203721077,5G
306,54,Mid-Career,5G,76,2,0.807825757,AI/ML
307,33,Mid-Career,Cybersecurity,159,2,0.877790614,AI/ML
308,38,Senior,Cybersecurity,149,1,0.528470729,Leadership
309,42,Mid-Career,Cybersecurity,365,2,0.42985839,Cybersecurity
310,35,Mid-Career,AI/ML,364,4,0.633061232,AI/ML
311,53,Mid-Career,Cybersecurity,423,0,0.186744817,5G
312,27,Senior,Cybersecurity,348,4,0.709442726,Cybersecurity
313,46,Entry-Level,5G,246,2,0.156828013,Cybersecurity
314,38,Senior,AI/ML,1,0,0.716541425,Cybersecurity
315,41,Mid-Career,AI/ML,290,4,0.109460229,5G
316,37,Entry-Level,AI/ML,491,4,0.338437978,Leadership
317,43,Senior,Leadership,526,1,0.850073399,Cybersecurity
318,28,Senior,Leadership,225,0,0.612096482,Cybersecurity
319,33,Mid-Career,Leadership,10,2,0.911339411,Cybersecurity
320,51,Senior,5G,330,3,0.926109789,Leadership
321,47,Senior,Cybersecurity,15,2,0.71026213,5G
322,28,Entry-Level,Cybersecurity,380,0,0.804473134,Cybersecurity
323,29,Entry-Level,5G,411,0,0.646993425,Cybersecurity
324,31,Senior,Cybersecurity,562,3,0.077688429,Leadership
325,41,Mid-Career,AI/ML,550,0,0.494216083,Cybersecurity
326,35,Mid-Career,5G,337,4,0.994685727,Leadership
327,34,Mid-Career,Cybersecurity,473,4,0.369062026,5G
328,53,Mid-Career,Leadership,119,4,0.418457699,5G
329,29,Mid-Career,Leadership,97,4,0.386701588,Leadership
330,58,Entry-Level,AI/ML,489,4,0.584383818,Leadership
331,27,Entry-Level,Leadership,535,2,0.204986264,Leadership
332,35,Senior,5G,361,2,0.890686923,5G
333,30,Senior,AI/ML,65,4,0.566578303,5G
334,30,Mid-Career,AI/ML,253,0,0.938612409,5G
335,55,Entry-Level,5G,566,0,0.219766728,AI/ML
336,23,Entry-Level,AI/ML,549,1,0.519204121,5G
337,40,Entry-Level,Cybersecurity,196,4,0.752925856,Cybersecurity
338,38,Senior,Cybersecurity,144,3,0.006478807,5G
339,22,Mid-Career,Cybersecurity,357,2,0.243294439,Leadership
340,32,Entry-Level,AI/ML,502,1,0.508270159,Leadership
341,25,Senior,Cybersecurity,75,3,0.2530197,5G
342,33,Entry-Level,Cybersecurity,48,2,0.729089307,5G
343,38,Entry-Level,Cybersecurity,473,2,0.574411854,Leadership
344,45,Senior,Leadership,171,2,0.41553303,AI/ML
345,41,Senior,Leadership,429,2,0.885628192,AI/ML
346,58,Senior,Cybersecurity,359,1,0.875760074,AI/ML
347,51,Mid-Career,AI/ML,270,4,0.568380574,Leadership
348,50,Senior,Leadership,276,1,0.727504496,Leadership
349,45,Mid-Career,5G,573,3,0.128118262,AI/ML
350,48,Senior,Cybersecurity,10,0,0.047307476,AI/ML
351,46,Senior,Leadership,530,3,0.490206991,Cybersecurity
352,37,Entry-Level,Cybersecurity,312,0,0.225314726,Cybersecurity
353,46,Entry-Level,5G,172,0,0.611051438,5G
354,38,Mid-Career,AI/ML,418,1,0.569335306,Leadership
355,54,Entry-Level,Cybersecurity,314,4,0.238735999,AI/ML
356,41,Mid-Career,Leadership,62,3,0.744256814,Cybersecurity
357,24,Entry-Level,AI/ML,44,1,0.208203823,AI/ML
358,51,Entry-Level,AI/ML,358,1,0.429623977,Cybersecurity
359,24,Mid-Career,Leadership,425,3,0.047574463,Leadership
360,59,Mid-Career,Leadership,569,4,0.744815599,Leadership
361,56,Senior,Leadership,40,0,0.651615024,5G
362,51,Mid-Career,AI/ML,104,4,0.377282881,Leadership
363,38,Mid-Career,Leadership,464,0,0.923442285,5G
364,55,Senior,Cybersecurity,189,3,0.685581266,Leadership
365,57,Entry-Level,AI/ML,294,3,0.438558772,5G
366,31,Mid-Career,Leadership,410,1,0.655499858,Leadership
367,39,Senior,Cybersecurity,442,4,0.536232007,AI/ML
368,34,Entry-Level,5G,498,3,0.968929954,Leadership
369,35,Senior,Leadership,357,2,0.976562163,5G
370,44,Entry-Level,Leadership,195,4,0.185192397,Cybersecurity
371,34,Mid-Career,AI/ML,207,4,0.455437723,Leadership
372,49,Senior,5G,186,4,0.971165081,5G
373,21,Entry-Level,Leadership,483,0,0.516097625,Leadership
374,52,Senior,Cybersecurity,368,3,0.603438195,5G
375,53,Mid-Career,Cybersecurity,591,4,0.563904137,Leadership
376,25,Mid-Career,AI/ML,40,2,0.496481974,5G
377,56,Mid-Career,5G,318,0,0.30500265,5G
378,37,Senior,Cybersecurity,148,0,0.466119541,AI/ML
379,25,Senior,AI/ML,143,4,0.03563867,Leadership
380,36,Entry-Level,AI/ML,179,3,0.539458278,5G
381,55,Entry-Level,5G,568,1,0.152635583,Cybersecurity
382,36,Mid-Career,Leadership,233,0,0.886546623,5G
383,40,Entry-Level,AI/ML,473,3,0.47926725,Leadership
384,36,Mid-Career,Leadership,0,3,0.339994885,Cybersecurity
385,23,Entry-Level,AI/ML,217,3,0.794588911,Leadership
386,32,Mid-Career,Cybersecurity,116,2,0.699898964,Leadership
387,56,Entry-Level,5G,42,2,0.842876812,AI/ML
388,38,Senior,Leadership,585,1,0.646522694,Leadership
389,37,Senior,AI/ML,43,3,0.103984643,Cybersecurity
390,44,Mid-Career,5G,519,3,0.837428518,Cybersecurity
391,51,Mid-Career,Cybersecurity,520,0,0.705844968,Leadership
392,53,Mid-Career,Cybersecurity,16,2,0.1356794,AI/ML
393,33,Mid-Career,5G,191,0,0.355049385,Leadership
394,24,Entry-Level,AI/ML,149,4,0.621731044,Leadership
395,50,Mid-Career,5G,256,4,0.8044109,Cybersecurity
396,31,Senior,AI/ML,441,3,0.726614252,Cybersecurity
397,21,Senior,Cybersecurity,464,1,0.02691113,AI/ML
398,33,Mid-Career,AI/ML,86,1,0.596444761,Leadership
399,47,Senior,Cybersecurity,331,0,0.20315361,AI/ML
400,55,Entry-Level,AI/ML,438,2,0.835177224,Cybersecurity
401,53,Mid-Career,Cybersecurity,78,1,0.541022877,5G
402,31,Senior,AI/ML,94,1,0.019777254,Cybersecurity
403,40,Senior,5G,279,0,0.477183905,AI/ML
404,44,Senior,Cybersecurity,343,2,0.302508722,AI/ML
405,57,Mid-Career,Cybersecurity,132,1,0.253556844,5G
406,54,Mid-Career,Cybersecurity,385,2,0.283869921,Cybersecurity
407,42,Mid-Career,Cybersecurity,464,1,0.350382792,AI/ML
408,34,Senior,AI/ML,78,0,0.249128969,Leadership
409,18,Entry-Level,Cybersecurity,170,4,0.562494946,AI/ML
410,34,Entry-Level,5G,30,1,0.933143975,Cybersecurity
411,41,Senior,Cybersecurity,276,1,0.968699922,5G
412,52,Entry-Level,AI/ML,99,4,0.196445505,AI/ML
413,35,Mid-Career,5G,193,3,0.055981849,AI/ML
414,34,Senior,5G,236,2,0.598202974,AI/ML
415,27,Senior,AI/ML,17,0,0.806422145,5G
416,36,Mid-Career,5G,37,4,0.484744288,Cybersecurity
417,29,Entry-Level,AI/ML,108,2,0.19685545,Cybersecurity
418,35,Mid-Career,Leadership,403,0,0.985719293,AI/ML
419,23,Senior,5G,455,1,0.745137473,AI/ML
420,36,Senior,5G,249,0,0.595313241,AI/ML
421,38,Senior,Leadership,502,1,0.312897248,Leadership
422,38,Senior,Cybersecurity,581,2,0.295456571,5G
423,56,Senior,Leadership,392,4,0.927545186,Cybersecurity
424,35,Entry-Level,AI/ML,328,0,0.410343704,Leadership
425,54,Mid-Career,Leadership,147,4,0.847152354,Leadership
426,46,Entry-Level,5G,478,4,0.951935867,Cybersecurity
427,51,Mid-Career,Cybersecurity,260,2,0.775161508,Leadership
428,57,Mid-Career,Cybersecurity,16,2,0.1242748,Leadership
429,57,Senior,5G,403,2,0.806536002,Cybersecurity
430,25,Senior,5G,319,0,0.653918647,5G
431,22,Senior,Cybersecurity,541,2,0.793892379,Leadership
432,53,Mid-Career,Cybersecurity,537,1,0.327445382,Leadership
433,23,Senior,5G,347,3,0.090528878,5G
434,47,Senior,Cybersecurity,340,2,0.466940993,5G
435,34,Senior,AI/ML,324,4,0.311119213,AI/ML
436,43,Mid-Career,AI/ML,358,1,0.571769234,5G
437,48,Mid-Career,Leadership,566,4,0.85469059,AI/ML
438,27,Mid-Career,5G,75,2,0.373941038,Cybersecurity
439,28,Senior,Leadership,484,3,0.666539461,5G
440,46,Senior,5G,555,1,0.085443542,Leadership
441,26,Senior,Leadership,355,0,0.089289934,Cybersecurity
442,27,Senior,AI/ML,338,3,0.530338245,AI/ML
443,51,Mid-Career,5G,181,3,0.076573982,AI/ML
444,33,Mid-Career,Leadership,398,0,0.211078211,AI/ML
445,39,Senior,AI/ML,50,2,0.469348769,5G
446,44,Mid-Career,Cybersecurity,421,3,0.288147188,5G
447,41,Mid-Career,5G,212,1,0.329648392,Leadership
448,57,Entry-Level,AI/ML,319,1,0.077613802,Cybersecurity
449,21,Mid-Career,AI/ML,463,1,0.953583805,AI/ML
450,28,Mid-Career,5G,324,3,0.853402383,5G
451,19,Senior,5G,412,0,0.25780675,Cybersecurity
452,58,Senior,5G,480,0,0.341603981,5G
